trait,percentile
1.0,0.05
1.05,0.09
1.07,0.1
1.1,0.1
1.13,0.1
1.14,0.1
1.15,0.1
1.16,0.1
1.17,0.1
1.19,0.1
1.2,0.1
1.21,0.1
1.25,0.18
1.28,0.25
1.29,0.25
1.3,0.25
1.32,0.25
1.33,0.26
1.35,0.27
1.36,0.28
1.37,0.28
1.38,0.28
1.39,0.28
1.4,0.28
1.42,0.28
1.43,0.28
1.44,0.28
1.45,0.29
1.46,0.29
1.47,0.29
1.5,0.48
1.53,0.66
1.55,0.66
1.56,0.67
1.57,0.67
1.58,0.67
1.6,0.68
1.61,0.69
1.62,0.69
1.63,0.69
1.64,0.69
1.65,0.7
1.67,0.73
1.68,0.75
1.69,0.75
1.7,0.76
1.71,0.77
1.72,0.77
1.73,0.77
1.74,0.77
1.75,1.1
1.76,1.44
1.77,1.44
1.78,1.44
1.79,1.44
1.8,1.45
1.81,1.47
1.82,1.47
1.83,1.48
1.84,1.49
1.85,1.5
1.86,1.52
1.88,1.53
1.89,1.53
1.9,1.55
1.91,1.57
1.92,1.57
1.93,1.57
1.94,1.58
1.95,1.6
2.0,2.28
2.05,2.96
2.06,2.99
2.07,2.99
2.08,3.0
2.09,3.0
2.1,3.04
2.11,3.08
2.12,3.08
2.13,3.09
2.14,3.1
2.15,3.14
2.16,3.17
2.17,3.21
2.18,3.24
2.19,3.24
2.2,3.29
2.21,3.34
2.22,3.35
2.23,3.35
2.24,3.35
2.25,4.32
2.26,5.28
2.27,5.29
2.28,5.29
2.29,5.29
2.3,5.36
2.31,5.42
2.32,5.43
2.33,5.53
2.35,5.69
2.36,5.75
2.37,5.76
2.38,5.78
2.39,5.8
2.4,5.89
2.41,5.97
2.42,5.98
2.43,6.0
2.44,6.01
2.45,6.09
2.46,6.17
2.47,6.17
2.5,7.75
2.53,9.33
2.54,9.34
2.55,9.44
2.56,9.54
2.57,9.56
2.58,9.58
2.59,9.6
2.6,9.73
2.61,9.87
2.62,9.87
2.63,9.91
2.64,9.96
2.65,10.09
2.67,10.38
2.68,10.56
2.69,10.58
2.7,10.74
2.71,10.91
2.72,10.92
2.73,10.92
2.74,10.93
2.75,13.04
2.76,15.15
2.77,15.15
2.78,15.15
2.79,15.18
2.8,15.4
2.81,15.61
2.82,15.62
2.83,15.74
2.84,15.87
2.85,16.06
2.86,16.26
2.87,16.27
2.88,16.33
2.89,16.4
2.9,16.66
2.91,16.9
2.92,16.92
2.93,16.95
2.94,16.97
2.95,17.22
3.0,20.69
3.05,24.21
3.06,24.5
3.07,24.53
3.08,24.57
3.09,24.6
3.1,24.93
3.11,25.29
3.12,25.32
3.13,25.4
3.14,25.5
3.15,25.82
3.16,26.14
3.17,26.34
3.18,26.52
3.19,26.53
3.2,26.94
3.21,27.37
3.22,27.42
3.23,27.43
3.24,27.43
3.25,30.96
3.26,34.51
3.27,34.54
3.28,34.55
3.29,34.58
3.3,35.04
3.31,35.48
3.32,35.52
3.33,35.89
3.35,36.62
3.36,37.02
3.37,37.06
3.38,37.19
3.39,37.3
3.4,37.8
3.41,38.3
3.42,38.36
3.43,38.44
3.44,38.5
3.45,38.95
3.46,39.37
3.47,39.39
3.5,43.88
3.53,48.36
3.54,48.39
3.55,48.83
3.56,49.29
3.57,49.35
3.58,49.45
3.59,49.53
3.6,50.07
3.61,50.63
3.62,50.64
3.63,50.78
3.64,50.95
3.65,51.42
3.67,52.28
3.68,52.71
3.69,52.75
3.7,53.32
3.71,53.9
3.72,53.94
3.73,53.95
3.74,53.98
3.75,58.29
3.76,62.57
3.77,62.58
3.78,62.59
3.79,62.66
3.8,63.27
3.81,63.85
3.82,63.86
3.83,64.1
3.84,64.36
3.85,64.83
3.86,65.3
3.87,65.33
3.88,65.44
3.89,65.59
3.9,66.17
3.91,66.7
3.92,66.74
3.93,66.81
3.94,66.85
3.95,67.32
4.0,72.26
4.05,77.17
4.06,77.61
4.07,77.65
4.08,77.7
4.09,77.73
4.1,78.18
4.11,78.67
4.12,78.71
4.13,78.79
4.14,78.9
4.15,79.27
4.16,79.64
4.17,79.82
4.18,79.99
4.19,80.0
4.2,80.4
4.21,80.83
4.22,80.87
4.23,80.88
4.24,80.89
4.25,84.13
4.26,87.39
4.27,87.41
4.28,87.42
4.29,87.44
4.3,87.76
4.31,88.08
4.32,88.11
4.33,88.39
4.35,88.87
4.36,89.11
4.37,89.13
4.38,89.2
4.39,89.26
4.4,89.51
4.41,89.76
4.42,89.79
4.43,89.83
4.44,89.85
4.45,90.04
4.46,90.21
4.47,90.22
4.5,92.57
4.53,94.92
4.54,94.93
4.55,95.05
4.56,95.18
4.57,95.2
4.58,95.22
4.59,95.23
4.6,95.36
4.61,95.49
4.62,95.49
4.63,95.52
4.64,95.56
4.65,95.64
4.67,95.85
4.68,95.99
4.69,96.0
4.7,96.08
4.71,96.16
4.72,96.16
4.73,96.16
4.74,96.17
4.75,97.38
4.76,98.58
4.77,98.58
4.78,98.58
4.79,98.59
4.8,98.64
4.81,98.68
4.82,98.69
4.83,98.71
4.84,98.73
4.85,98.76
4.86,98.78
4.87,98.78
4.88,98.79
4.89,98.8
4.9,98.82
4.91,98.84
4.92,98.84
4.93,98.84
4.94,98.84
4.95,98.85
5.0,99.43
