trait,percentile
1.0,0.03
1.05,0.05
1.06,0.05
1.08,0.05
1.1,0.06
1.13,0.06
1.14,0.06
1.15,0.06
1.16,0.06
1.17,0.06
1.19,0.06
1.2,0.06
1.21,0.07
1.22,0.07
1.24,0.07
1.25,0.11
1.26,0.16
1.28,0.16
1.29,0.16
1.3,0.17
1.31,0.17
1.32,0.17
1.33,0.18
1.35,0.19
1.36,0.19
1.37,0.19
1.38,0.2
1.39,0.2
1.4,0.2
1.42,0.21
1.43,0.21
1.44,0.21
1.45,0.22
1.46,0.22
1.47,0.22
1.5,0.36
1.53,0.49
1.55,0.5
1.56,0.51
1.57,0.51
1.58,0.51
1.6,0.53
1.61,0.55
1.63,0.55
1.64,0.55
1.65,0.57
1.67,0.61
1.68,0.64
1.69,0.64
1.7,0.66
1.71,0.68
1.72,0.68
1.73,0.68
1.74,0.68
1.75,0.96
1.76,1.24
1.78,1.24
1.79,1.24
1.8,1.27
1.81,1.3
1.82,1.3
1.83,1.32
1.84,1.34
1.85,1.38
1.86,1.41
1.87,1.41
1.88,1.42
1.89,1.43
1.9,1.47
1.91,1.51
1.92,1.52
1.93,1.52
1.94,1.53
1.95,1.57
2.0,2.27
2.05,2.98
2.06,3.05
2.07,3.05
2.08,3.06
2.09,3.07
2.1,3.14
2.11,3.21
2.12,3.22
2.13,3.24
2.14,3.26
2.15,3.33
2.16,3.41
2.17,3.47
2.18,3.52
2.19,3.52
2.2,3.62
2.21,3.73
2.22,3.74
2.23,3.74
2.24,3.74
2.25,4.77
2.26,5.8
2.27,5.81
2.28,5.81
2.29,5.82
2.3,5.95
2.31,6.07
2.32,6.08
2.33,6.22
2.35,6.48
2.36,6.59
2.37,6.61
2.38,6.65
2.39,6.68
2.4,6.84
2.41,6.99
2.42,7.01
2.43,7.04
2.44,7.05
2.45,7.2
2.46,7.34
2.47,7.35
2.5,9.21
2.53,11.07
2.54,11.08
2.55,11.24
2.56,11.41
2.57,11.44
2.58,11.47
2.59,11.49
2.6,11.71
2.61,11.93
2.62,11.94
2.63,12.01
2.64,12.08
2.65,12.28
2.67,12.69
2.68,12.93
2.69,12.94
2.7,13.2
2.71,13.46
2.72,13.48
2.73,13.48
2.74,13.5
2.75,16.02
2.76,18.54
2.77,18.54
2.78,18.55
2.79,18.58
2.8,18.89
2.81,19.19
2.82,19.19
2.83,19.34
2.84,19.5
2.85,19.76
2.86,20.03
2.87,20.04
2.88,20.11
2.89,20.21
2.9,20.55
2.91,20.86
2.92,20.88
2.93,20.92
2.94,20.95
2.95,21.26
3.0,25.3
3.05,29.37
3.06,29.7
3.07,29.73
3.08,29.77
3.09,29.8
3.1,30.19
3.11,30.61
3.12,30.64
3.13,30.73
3.14,30.84
3.15,31.19
3.16,31.53
3.17,31.75
3.18,31.94
3.19,31.96
3.2,32.38
3.21,32.83
3.22,32.88
3.23,32.89
3.24,32.9
3.25,36.74
3.26,40.61
3.27,40.63
3.28,40.64
3.29,40.67
3.3,41.12
3.31,41.56
3.32,41.6
3.33,41.97
3.35,42.68
3.36,43.06
3.37,43.1
3.38,43.22
3.39,43.33
3.4,43.81
3.41,44.27
3.42,44.33
3.43,44.4
3.44,44.45
3.45,44.85
3.46,45.22
3.47,45.24
3.5,49.62
3.53,54.0
3.54,54.03
3.55,54.41
3.56,54.82
3.57,54.87
3.58,54.95
3.59,55.01
3.6,55.48
3.61,55.96
3.62,55.97
3.63,56.1
3.64,56.25
3.65,56.64
3.67,57.36
3.68,57.72
3.69,57.76
3.7,58.22
3.71,58.7
3.72,58.73
3.73,58.75
3.74,58.77
3.75,62.69
3.76,66.59
3.77,66.59
3.78,66.6
3.79,66.65
3.8,67.15
3.81,67.61
3.82,67.63
3.83,67.81
3.84,68.01
3.85,68.39
3.86,68.77
3.87,68.79
3.88,68.88
3.89,68.99
3.9,69.44
3.91,69.85
3.92,69.88
3.93,69.93
3.94,69.97
3.95,70.34
4.0,74.56
4.05,78.73
4.06,79.06
4.07,79.09
4.08,79.13
4.09,79.16
4.1,79.49
4.11,79.84
4.12,79.87
4.13,79.94
4.14,80.01
4.15,80.28
4.16,80.55
4.17,80.7
4.18,80.83
4.19,80.84
4.2,81.14
4.21,81.45
4.22,81.49
4.23,81.49
4.24,81.5
4.25,84.2
4.26,86.91
4.27,86.93
4.28,86.93
4.29,86.95
4.3,87.21
4.31,87.46
4.32,87.48
4.33,87.69
4.35,88.07
4.36,88.27
4.37,88.29
4.38,88.34
4.39,88.39
4.4,88.61
4.41,88.81
4.42,88.84
4.43,88.87
4.44,88.89
4.45,89.06
4.46,89.22
4.47,89.23
4.5,91.39
4.53,93.56
4.54,93.57
4.55,93.69
4.56,93.83
4.57,93.84
4.58,93.87
4.59,93.89
4.6,94.02
4.61,94.16
4.62,94.16
4.63,94.2
4.64,94.23
4.65,94.34
4.67,94.56
4.68,94.68
4.69,94.69
4.7,94.79
4.71,94.9
4.72,94.9
4.73,94.91
4.74,94.91
4.75,96.26
4.76,97.59
4.77,97.59
4.78,97.6
4.79,97.61
4.8,97.69
4.81,97.76
4.82,97.76
4.83,97.79
4.84,97.83
4.85,97.88
4.86,97.92
4.87,97.92
4.88,97.94
4.89,97.95
4.9,98.0
4.91,98.04
4.92,98.04
4.93,98.04
4.94,98.05
4.95,98.08
5.0,99.05
