trait,percentile
1.0,0.06
1.05,0.13
1.06,0.13
1.07,0.13
1.08,0.13
1.1,0.14
1.11,0.14
1.13,0.14
1.14,0.14
1.15,0.15
1.16,0.15
1.17,0.15
1.19,0.15
1.2,0.16
1.21,0.17
1.22,0.17
1.25,0.27
1.26,0.38
1.27,0.38
1.28,0.38
1.29,0.38
1.3,0.39
1.31,0.41
1.32,0.41
1.33,0.42
1.35,0.44
1.36,0.45
1.37,0.45
1.38,0.45
1.39,0.45
1.4,0.47
1.42,0.49
1.43,0.49
1.44,0.49
1.45,0.51
1.46,0.53
1.47,0.53
1.5,0.76
1.53,0.98
1.54,0.98
1.55,1.0
1.56,1.03
1.57,1.03
1.58,1.03
1.59,1.04
1.6,1.07
1.61,1.1
1.62,1.1
1.63,1.1
1.64,1.11
1.65,1.14
1.67,1.2
1.68,1.22
1.69,1.23
1.7,1.27
1.71,1.31
1.72,1.31
1.73,1.31
1.74,1.31
1.75,1.68
1.76,2.05
1.77,2.05
1.78,2.05
1.79,2.06
1.8,2.12
1.81,2.17
1.82,2.17
1.83,2.19
1.84,2.21
1.85,2.26
1.86,2.32
1.87,2.32
1.88,2.33
1.89,2.34
1.9,2.41
1.91,2.48
1.92,2.49
1.93,2.49
1.94,2.5
1.95,2.57
2.0,3.34
2.05,4.12
2.06,4.21
2.07,4.22
2.08,4.23
2.09,4.23
2.1,4.33
2.11,4.43
2.12,4.44
2.13,4.46
2.14,4.47
2.15,4.58
2.16,4.68
2.17,4.72
2.18,4.75
2.19,4.75
2.2,4.87
2.21,5.0
2.22,5.01
2.23,5.02
2.24,5.02
2.25,5.97
2.26,6.93
2.27,6.93
2.28,6.94
2.29,6.95
2.3,7.08
2.31,7.21
2.32,7.23
2.33,7.31
2.35,7.52
2.36,7.65
2.37,7.66
2.38,7.69
2.39,7.71
2.4,7.87
2.41,8.02
2.42,8.04
2.43,8.07
2.44,8.09
2.45,8.24
2.46,8.39
2.47,8.4
2.5,9.88
2.53,11.37
2.54,11.38
2.55,11.54
2.56,11.71
2.57,11.73
2.58,11.76
2.59,11.78
2.6,11.98
2.61,12.19
2.62,12.19
2.63,12.24
2.64,12.29
2.65,12.48
2.67,12.78
2.68,12.92
2.69,12.94
2.7,13.16
2.71,13.38
2.72,13.4
2.73,13.4
2.74,13.42
2.75,15.27
2.76,17.11
2.77,17.11
2.78,17.12
2.79,17.15
2.8,17.42
2.81,17.67
2.82,17.68
2.83,17.77
2.84,17.88
2.85,18.1
2.86,18.32
2.87,18.33
2.88,18.38
2.89,18.45
2.9,18.73
2.91,18.98
2.92,19.0
2.93,19.04
2.94,19.06
2.95,19.31
3.0,22.31
3.05,25.32
3.06,25.6
3.07,25.62
3.08,25.66
3.09,25.68
3.1,25.98
3.11,26.31
3.12,26.34
3.13,26.4
3.14,26.47
3.15,26.74
3.16,27.01
3.17,27.16
3.18,27.3
3.19,27.31
3.2,27.64
3.21,28.0
3.22,28.04
3.23,28.05
3.24,28.06
3.25,31.01
3.26,33.99
3.27,34.01
3.28,34.02
3.29,34.04
3.3,34.4
3.31,34.75
3.32,34.78
3.33,35.04
3.35,35.57
3.36,35.88
3.37,35.92
3.38,36.02
3.39,36.1
3.4,36.46
3.41,36.82
3.42,36.87
3.43,36.94
3.44,36.98
3.45,37.3
3.46,37.6
3.47,37.63
3.5,41.39
3.53,45.15
3.54,45.18
3.55,45.49
3.56,45.82
3.57,45.86
3.58,45.93
3.59,45.99
3.6,46.39
3.61,46.79
3.62,46.8
3.63,46.91
3.64,47.04
3.65,47.38
3.67,47.99
3.68,48.31
3.69,48.35
3.7,48.75
3.71,49.16
3.72,49.19
3.73,49.2
3.74,49.23
3.75,53.07
3.76,56.88
3.77,56.88
3.78,56.9
3.79,56.96
3.8,57.4
3.81,57.81
3.82,57.83
3.83,58.03
3.84,58.25
3.85,58.6
3.86,58.95
3.87,58.97
3.88,59.07
3.89,59.2
3.9,59.63
3.91,60.02
3.92,60.06
3.93,60.11
3.94,60.15
3.95,60.51
4.0,65.22
4.05,69.92
4.06,70.26
4.07,70.3
4.08,70.35
4.09,70.38
4.1,70.74
4.11,71.14
4.12,71.18
4.13,71.28
4.14,71.39
4.15,71.69
4.16,71.99
4.17,72.21
4.18,72.4
4.19,72.41
4.2,72.77
4.21,73.17
4.22,73.22
4.23,73.23
4.24,73.23
4.25,76.71
4.26,80.2
4.27,80.22
4.28,80.23
4.29,80.26
4.3,80.6
4.31,80.93
4.32,80.96
4.33,81.26
4.35,81.78
4.36,82.02
4.37,82.06
4.38,82.16
4.39,82.25
4.4,82.55
4.41,82.84
4.42,82.88
4.43,82.94
4.44,82.97
4.45,83.2
4.46,83.4
4.47,83.42
4.5,86.48
4.53,89.54
4.54,89.56
4.55,89.74
4.56,89.92
4.57,89.95
4.58,89.99
4.59,90.03
4.6,90.24
4.61,90.45
4.62,90.46
4.63,90.53
4.64,90.61
4.65,90.76
4.67,91.1
4.68,91.32
4.69,91.33
4.7,91.5
4.71,91.67
4.72,91.68
4.73,91.69
4.74,91.7
4.75,93.69
4.76,95.68
4.77,95.68
4.78,95.69
4.79,95.71
4.8,95.84
4.81,95.97
4.82,95.97
4.83,96.06
4.84,96.15
4.85,96.23
4.86,96.31
4.87,96.32
4.88,96.35
4.89,96.39
4.9,96.48
4.91,96.55
4.92,96.56
4.93,96.57
4.94,96.57
4.95,96.62
5.0,98.33
