trait,percentile
1.0,0.5
1.05,1.04
1.06,1.07
1.07,1.07
1.08,1.07
1.09,1.08
1.1,1.12
1.11,1.17
1.13,1.19
1.14,1.2
1.15,1.24
1.16,1.29
1.17,1.32
1.18,1.36
1.19,1.36
1.2,1.43
1.21,1.51
1.22,1.52
1.23,1.52
1.24,1.52
1.25,2.24
1.26,2.97
1.27,2.97
1.28,2.97
1.29,2.98
1.3,3.07
1.31,3.16
1.32,3.17
1.33,3.26
1.35,3.42
1.36,3.5
1.37,3.51
1.38,3.54
1.39,3.56
1.4,3.69
1.41,3.82
1.42,3.83
1.43,3.85
1.44,3.86
1.45,3.98
1.46,4.09
1.47,4.1
1.5,5.43
1.53,6.76
1.54,6.77
1.55,6.9
1.56,7.04
1.57,7.06
1.58,7.08
1.59,7.1
1.6,7.28
1.61,7.46
1.62,7.47
1.63,7.51
1.64,7.56
1.65,7.73
1.67,8.04
1.68,8.2
1.69,8.22
1.7,8.43
1.71,8.66
1.72,8.67
1.73,8.68
1.74,8.69
1.75,10.54
1.76,12.37
1.77,12.37
1.78,12.38
1.79,12.41
1.8,12.67
1.81,12.93
1.82,12.93
1.83,13.06
1.84,13.2
1.85,13.43
1.86,13.66
1.87,13.67
1.88,13.73
1.89,13.81
1.9,14.11
1.91,14.38
1.92,14.4
1.93,14.44
1.94,14.46
1.95,14.73
2.0,17.95
2.05,21.19
2.06,21.48
2.07,21.51
2.08,21.55
2.09,21.57
2.1,21.91
2.11,22.28
2.12,22.31
2.13,22.39
2.14,22.48
2.15,22.77
2.16,23.07
2.17,23.26
2.18,23.43
2.19,23.44
2.2,23.81
2.21,24.2
2.22,24.25
2.23,24.26
2.24,24.26
2.25,27.45
2.26,30.65
2.27,30.67
2.28,30.68
2.29,30.7
2.3,31.09
2.31,31.47
2.32,31.5
2.33,31.81
2.35,32.41
2.36,32.74
2.37,32.77
2.38,32.88
2.39,32.97
2.4,33.36
2.41,33.74
2.42,33.79
2.43,33.85
2.44,33.89
2.45,34.23
2.46,34.55
2.47,34.58
2.5,38.53
2.53,42.48
2.54,42.5
2.55,42.82
2.56,43.16
2.57,43.2
2.58,43.26
2.59,43.31
2.6,43.71
2.61,44.11
2.62,44.12
2.63,44.23
2.64,44.36
2.65,44.69
2.67,45.3
2.68,45.61
2.69,45.64
2.7,46.04
2.71,46.44
2.72,46.47
2.73,46.48
2.74,46.5
2.75,50.32
2.76,54.13
2.77,54.13
2.78,54.14
2.79,54.19
2.8,54.6
2.81,54.99
2.82,55.0
2.83,55.18
2.84,55.38
2.85,55.71
2.86,56.03
2.87,56.05
2.88,56.13
2.89,56.25
2.9,56.64
2.91,57.01
2.92,57.04
2.93,57.08
2.94,57.12
2.95,57.44
3.0,61.89
3.05,66.33
3.06,66.64
3.07,66.67
3.08,66.71
3.09,66.74
3.1,67.07
3.11,67.42
3.12,67.45
3.13,67.53
3.14,67.61
3.15,67.89
3.16,68.16
3.17,68.32
3.18,68.47
3.19,68.48
3.2,68.8
3.21,69.14
3.22,69.17
3.23,69.19
3.24,69.19
3.25,72.34
3.26,75.5
3.27,75.51
3.28,75.52
3.29,75.54
3.3,75.84
3.31,76.13
3.32,76.16
3.33,76.37
3.35,76.81
3.36,77.05
3.37,77.07
3.38,77.15
3.39,77.22
3.4,77.48
3.41,77.74
3.42,77.77
3.43,77.81
3.44,77.84
3.45,78.06
3.46,78.26
3.47,78.27
3.5,81.05
3.53,83.82
3.54,83.83
3.55,84.02
3.56,84.22
3.57,84.24
3.58,84.28
3.59,84.31
3.6,84.53
3.61,84.75
3.62,84.75
3.63,84.81
3.64,84.88
3.65,85.06
3.67,85.38
3.68,85.54
3.69,85.55
3.7,85.76
3.71,85.96
3.72,85.97
3.73,85.98
3.74,85.99
3.75,87.93
3.76,89.86
3.77,89.86
3.78,89.87
3.79,89.89
3.8,90.08
3.81,90.25
3.82,90.25
3.83,90.32
3.84,90.4
3.85,90.54
3.86,90.68
3.87,90.69
3.88,90.72
3.89,90.77
3.9,90.93
3.91,91.07
3.92,91.08
3.93,91.1
3.94,91.12
3.95,91.24
4.0,92.9
4.05,94.54
4.06,94.64
4.07,94.65
4.08,94.66
4.09,94.67
4.1,94.77
4.11,94.88
4.12,94.89
4.13,94.91
4.14,94.93
4.15,95.02
4.16,95.11
4.17,95.15
4.18,95.19
4.19,95.19
4.2,95.28
4.21,95.37
4.22,95.38
4.23,95.38
4.24,95.38
4.25,96.2
4.26,97.03
4.27,97.03
4.28,97.03
4.29,97.04
4.3,97.11
4.31,97.18
4.32,97.18
4.33,97.24
4.35,97.34
4.36,97.39
4.37,97.4
4.38,97.41
4.39,97.43
4.4,97.48
4.41,97.54
4.42,97.55
4.43,97.55
4.44,97.56
4.45,97.6
4.46,97.64
4.47,97.64
4.5,98.16
4.53,98.68
4.54,98.68
4.55,98.71
4.56,98.74
4.57,98.75
4.58,98.75
4.59,98.76
4.6,98.79
4.61,98.82
4.62,98.82
4.63,98.83
4.64,98.84
4.65,98.86
4.67,98.91
4.68,98.94
4.69,98.94
4.7,98.96
4.71,98.98
4.72,98.98
4.73,98.98
4.74,98.98
4.75,99.25
4.76,99.52
4.78,99.52
4.79,99.52
4.8,99.53
4.81,99.55
4.82,99.55
4.83,99.56
4.84,99.56
4.85,99.57
4.86,99.58
4.88,99.59
4.89,99.59
4.9,99.6
4.92,99.61
4.93,99.61
4.94,99.61
4.95,99.62
5.0,99.81
