trait,percentile
1.0,0.01
1.1,0.03
1.13,0.03
1.15,0.03
1.17,0.03
1.2,0.03
1.25,0.05
1.28,0.08
1.3,0.08
1.32,0.08
1.33,0.08
1.35,0.09
1.37,0.09
1.38,0.09
1.4,0.09
1.44,0.09
1.45,0.09
1.47,0.09
1.5,0.16
1.53,0.22
1.55,0.23
1.56,0.23
1.57,0.23
1.58,0.23
1.6,0.23
1.63,0.23
1.64,0.23
1.65,0.23
1.67,0.24
1.69,0.25
1.7,0.25
1.71,0.26
1.72,0.26
1.74,0.26
1.75,0.4
1.79,0.54
1.8,0.54
1.81,0.55
1.83,0.55
1.85,0.55
1.86,0.56
1.88,0.56
1.89,0.56
1.9,0.57
1.91,0.57
1.92,0.57
1.93,0.57
1.94,0.57
1.95,0.57
2.0,0.91
2.05,1.25
2.06,1.25
2.07,1.25
2.08,1.25
2.1,1.26
2.11,1.27
2.12,1.27
2.13,1.27
2.14,1.28
2.15,1.28
2.16,1.29
2.17,1.3
2.19,1.32
2.2,1.33
2.21,1.34
2.22,1.34
2.23,1.34
2.25,1.89
2.26,2.43
2.27,2.44
2.28,2.44
2.29,2.44
2.3,2.45
2.31,2.47
2.32,2.47
2.33,2.52
2.35,2.58
2.36,2.59
2.37,2.59
2.38,2.6
2.39,2.61
2.4,2.63
2.42,2.66
2.43,2.66
2.44,2.67
2.45,2.69
2.46,2.7
2.47,2.7
2.5,3.69
2.53,4.68
2.54,4.68
2.55,4.71
2.56,4.73
2.57,4.74
2.58,4.75
2.59,4.75
2.6,4.8
2.61,4.84
2.62,4.84
2.63,4.86
2.64,4.88
2.65,4.92
2.67,5.05
2.68,5.13
2.69,5.14
2.7,5.2
2.71,5.26
2.72,5.27
2.73,5.27
2.74,5.27
2.75,6.77
2.76,8.26
2.77,8.26
2.78,8.26
2.79,8.27
2.8,8.36
2.81,8.45
2.82,8.45
2.83,8.53
2.84,8.61
2.85,8.68
2.86,8.75
2.87,8.76
2.88,8.79
2.89,8.83
2.9,8.94
2.91,9.04
2.92,9.06
2.93,9.08
2.94,9.09
2.95,9.19
3.0,11.78
3.05,14.39
3.06,14.53
3.07,14.54
3.08,14.57
3.09,14.59
3.1,14.77
3.11,14.97
3.12,14.98
3.13,15.03
3.14,15.1
3.15,15.27
3.16,15.43
3.17,15.58
3.18,15.72
3.19,15.72
3.2,15.96
3.21,16.21
3.22,16.24
3.23,16.25
3.24,16.25
3.25,19.21
3.26,22.18
3.27,22.19
3.28,22.19
3.29,22.22
3.3,22.51
3.31,22.8
3.32,22.82
3.33,23.09
3.35,23.59
3.36,23.85
3.37,23.88
3.38,23.97
3.39,24.05
3.4,24.4
3.41,24.74
3.42,24.78
3.43,24.84
3.44,24.88
3.45,25.18
3.46,25.47
3.47,25.48
3.5,29.51
3.53,33.54
3.54,33.56
3.55,33.88
3.56,34.23
3.57,34.28
3.58,34.36
3.59,34.41
3.6,34.85
3.61,35.31
3.62,35.32
3.63,35.44
3.64,35.58
3.65,35.98
3.67,36.67
3.68,37.01
3.69,37.04
3.7,37.54
3.71,38.05
3.72,38.09
3.73,38.1
3.74,38.12
3.75,42.32
3.76,46.5
3.77,46.5
3.78,46.51
3.79,46.57
3.8,47.15
3.81,47.7
3.82,47.72
3.83,47.95
3.84,48.2
3.85,48.67
3.86,49.14
3.87,49.17
3.88,49.29
3.89,49.44
3.9,50.03
3.91,50.58
3.92,50.63
3.93,50.69
3.94,50.74
3.95,51.25
4.0,56.56
4.05,61.88
4.06,62.41
4.07,62.46
4.08,62.52
4.09,62.56
4.1,63.13
4.11,63.74
4.12,63.78
4.13,63.88
4.14,64.01
4.15,64.52
4.16,65.03
4.17,65.26
4.18,65.46
4.19,65.48
4.2,66.06
4.21,66.67
4.22,66.72
4.23,66.73
4.24,66.73
4.25,70.7
4.26,74.68
4.27,74.7
4.28,74.72
4.29,74.75
4.3,75.31
4.31,75.85
4.32,75.89
4.33,76.17
4.35,76.9
4.36,77.37
4.37,77.41
4.38,77.53
4.39,77.63
4.4,78.15
4.41,78.65
4.42,78.69
4.43,78.75
4.44,78.79
4.45,79.22
4.46,79.64
4.47,79.66
4.5,83.26
4.53,86.86
4.54,86.87
4.55,87.24
4.56,87.62
4.57,87.65
4.58,87.7
4.59,87.73
4.6,88.12
4.61,88.52
4.62,88.52
4.63,88.6
4.64,88.69
4.65,89.01
4.67,89.49
4.68,89.67
4.69,89.69
4.7,90.0
4.71,90.32
4.72,90.33
4.73,90.34
4.74,90.35
4.75,92.78
4.76,95.19
4.77,95.19
4.78,95.2
4.79,95.22
4.8,95.46
4.81,95.69
4.82,95.69
4.83,95.77
4.84,95.86
4.85,96.01
4.86,96.15
4.87,96.16
4.88,96.2
4.89,96.24
4.9,96.37
4.91,96.5
4.92,96.51
4.93,96.51
4.94,96.52
4.95,96.61
5.0,98.34
